id,color,level,cost,points,effect_type,trigger_action,trigger_color,convert_from,convert_to,upgrade_energy,upgrade_archive,upgrade_research,upgrade_special,tooltip
101,black,1,1,1,converter,,,yellow,any,,,,,XD
102,blue,1,1,1,converter,,,red,any,,,,,
103,red,1,1,1,converter,,,black,any,,,,,
104,yellow,1,1,1,converter,,,blue,any,,,,,
105,black,1,1,1,converter,,,red,any,,,,,
106,blue,1,1,1,converter,,,yellow,any,,,,,
107,red,1,1,1,converter,,,blue,any,,,,,
108,yellow,1,1,1,converter,,,black,any,,,,,
109,black,1,1,1,trigger_pick,draw,blue,,,,,,,
110,blue,1,1,1,trigger_pick,draw,red,,,,,,,
111,red,1,1,1,trigger_pick,draw,yellow,,,,,,,
112,yellow,1,1,1,trigger_pick,draw,black,,,,,,,
113,black,1,1,1,trigger_pick,draw,yellow,,,,,,,
114,blue,1,1,1,trigger_pick,draw,black,,,,,,,
115,red,1,1,1,trigger_pick,draw,blue,,,,,,,
116,yellow,1,1,1,trigger_pick,draw,red,,,,,,,
117,black,1,1,1,trigger_file,pick,,,,,,,,
118,blue,1,1,1,trigger_file,pick,,,,,,,,
119,red,1,1,1,trigger_file,pick,,,,,,,,
120,yellow,1,1,1,trigger_file,pick,,,,,,,,
121,black,1,1,1,upgrade,,,,,1,0,1,,
122,blue,1,1,1,upgrade,,,,,1,0,1,,
123,red,1,1,1,upgrade,,,,,1,0,1,,
124,yellow,1,1,1,upgrade,,,,,1,0,1,,
125,black,1,1,1,upgrade,,,,,1,1,0,,
126,blue,1,1,1,upgrade,,,,,1,1,0,,
127,red,1,1,1,upgrade,,,,,1,1,0,,
128,yellow,1,1,1,upgrade,,,,,1,1,0,,
129,black,1,1,1,trigger_build,pick,blue,,,,,,,
130,blue,1,1,1,trigger_build,pick,yellow,,,,,,,
131,red,1,1,1,trigger_build,pick,black,,,,,,,
132,yellow,1,1,1,trigger_build,pick,red,,,,,,,
133,black,1,1,1,trigger_build,point,red,,,,,,,
134,blue,1,1,1,trigger_build,point,black,,,,,,,
135,red,1,1,1,trigger_build,point,yellow,,,,,,,
136,yellow,1,1,1,trigger_build,point,blue,,,,,,,
201,black,2,3,3,upgrade,,,,,2,1,2,,
202,blue,2,3,3,upgrade,,,,,2,1,2,,
203,red,2,3,3,upgrade,,,,,2,1,2,,
204,yellow,2,3,3,upgrade,,,,,2,1,2,,
205,black,2,3,3,trigger_buildfromfile,pick_two,,,,,,,,
206,blue,2,3,3,trigger_buildfromfile,pick_two,,,,,,,,
207,red,2,3,3,trigger_buildfromfile,pick_two,,,,,,,,
208,yellow,2,3,3,trigger_buildfromfile,pick_two,,,,,,,,
209,black,2,2,2,trigger_pick,draw,"yellow,red",,,,,,,
210,blue,2,2,2,trigger_pick,draw,"yellow,black",,,,,,,
211,red,2,2,2,trigger_pick,draw,"blue,black",,,,,,,
212,yellow,2,2,2,trigger_pick,draw,"red,blue",,,,,,,
213,black,2,2,2,converter,,,blue,any2,,,,,
214,blue,2,2,2,converter,,,black,any2,,,,,
